name,continent,land area,population,population density,gdp,gdp per citizen,latitude
Botswana,Africa,566730,2439892,4.305210594,20321958850,8329.040322,-22
Tonga,Oceania,720,105042,145.8916667,518180042.2,4933.074791,-20
Greece,Europe,128900,10436882,80.96882855,2.19E+11,20971.83493,39
Marshall Islands,Oceania,180,40077,222.65,253400000,6322.828555,9
Belarus,Europe,202990,9228071,45.46071728,73775179925,7994.648061,53
Republic of the Congo,Africa,341500,6035104,17.67233968,15817030155,2620.838043,-1
Tanzania,Africa,885800,64711821,73.05466358,75769974505,1207.853027,-6
Liechtenstein,Europe,160,39493,246.83125,7361504432,186400.2338,47.26666666
Sint Maarten,Americas,34,42139,1239.382353,1537088715,36476.63008,18.033333
Bosnia and Herzegovina,Europe,51200,3204802,62.59378906,24534663636,7655.59421,44
Bahrain,Asia,790,1524693,1929.991139,46680398936,30616.26107,26
Kenya,Africa,569140,54252461,95.32357768,1.14E+11,2109.562885,1
Estonia,Europe,42730,1348840,31.56658086,38376046175,28451.14778,59
Qatar,Asia,11490,2657333,231.2735422,2.36E+11,88701.46335,25.5
Poland,Europe,306090,36821749,120.2971316,6.96E+11,18891.21212,52
Moldova,Europe,32890,2528654,88.02360149,14510490660,5738.424735,47
Jordan,Asia,88794,11256263,126.7682839,48764963380,4332.251599,31
Tunisia,Africa,155360,12119334,78.00807158,44579761023,3678.400234,34
Paraguay,Americas,396012.042,6760464,17.07135966,41952910858,6205.625954,-23
Malaysia,Asia,328550,34695493,105.6018658,4.08E+11,11748.09193,2.5
Cameroon,Africa,472710,27632771,58.45607455,44347206073,1604.87727,6
Solomon Islands,Oceania,27990,781066,27.90518042,1566360686,2005.413993,-8
Mongolia,Asia,1557506.789,3433748,2.204644002,17146471714,4993.514875,46
Vanuatu,Oceania,12190,313046,25.68055783,1022219298,3265.396451,-16
Nepal,Asia,143350,29715436,207.2928915,41182939601,1385.910663,28
Guam,Oceania,540,165180,305.8888889,6910000000,41833.15171,13.46666666
Lebanon,Asia,10230,5744489,561.5336266,20992421949,3654.358455,33.83333333
Ivory Coast,Africa,318000,30395002,95.5817673,70173140101,2308.706547,8
Ecuador,Americas,248360,17823897,71.76637542,1.17E+11,6540.998245,-2
Palau,Oceania,460,17759,38.60652174,255591062.5,14392.19903,7.5
Kyrgyzstan,Asia,191800,6975219.5,36.36715068,12134931018,1739.720308,41
Egypt,Africa,995450,112618250,113.1330052,4.77E+11,4233.307837,27
North Korea,Asia,120410,26328845,218.6599535,,,40
Senegal,Africa,192530,17651103,91.6797538,27619479060,1564.745221,14
British Virgin Islands,Americas,150,38319,255.46,,,18.431383
Costa Rica,Americas,51060,5081765,99.52536232,69243626029,13625.90085,10
Guatemala,Americas,107160,17847877,166.5535368,95630524813,5358.089638,15.5
China,Asia,9388210,1412175000,150.4200481,1.79E+13,12662.58267,35
Kazakhstan,Asia,2699700,20034609,7.421050117,2.25E+11,11255.33964,48.0196
Cape Verde,Africa,4030,519741,128.9679901,2247003348,4323.313627,16.5388
Vatican City,Europe,,,,,,41.9
Bhutan,Asia,38140,780914,20.47493445,2898227743,3711.327679,27.5
Colombia,Americas,1109500,51737944,46.63176566,3.45E+11,6674.596019,4
Grenada,Americas,340,116913,343.8617647,1224577778,10474.26529,12.11666666
Northern Mariana Islands,Oceania,460,46078,100.1695652,1096000000,23785.75459,15.2
Papua New Guinea,Oceania,452860,10203169,22.53051495,31647277767,3101.710632,-6
Antarctica,Antarctic,,,,,,-90
South Africa,Africa,1213090,62378410,51.42108994,4.07E+11,6523.410978,-29
Guinea,Africa,245720,14055137,57.19980873,19910452542,1416.59612,11
Hong Kong,Asia,,7346100,,3.59E+11,48826.05277,22.267
Chad,Africa,1259200,18455316,14.65638183,12396807588,671.7201476,15
"Saint Helena, Ascension and Tristan da Cunha",Africa,,,,,,-15.95
Honduras,Americas,111890,10463872,93.51927786,31426041807,3003.289968,15
Montenegro,Europe,13450,617213,45.88944238,6229801581,10093.4387,42.5
Morocco,Africa,446300,37329064,83.64119202,1.31E+11,3455.39624,32
Nicaragua,Americas,120340,6730654,55.93031411,15649897117,2325.167379,13
Cayman Islands,Americas,240,71591,298.2958333,6600843963,92202.1478,19.3133
Luxembourg,Europe,2574.46,653103,253.6854331,81641807866,125006.0218,49.75
Guyana,Americas,196850,821637,4.173924308,14718387017,17913.49101,5
Bulgaria,Europe,108560,6643324,61.1949521,90642851836,13644.20158,43
Ghana,Africa,227533,33149152,145.6894253,74263364042,2240.279451,8
Finland,Europe,303947.7,5556106,18.27980932,2.80E+11,50438.4754,64
Seychelles,Africa,460,119878,260.6043478,2057968520,17167.19098,-4.58333333
United States Virgin Islands,Americas,350,105413,301.18,4672000000,44320.90919,18.35
Ethiopia,Africa,1128571.4,125384287,111.100004,1.27E+11,1011.073286,8
Mauritania,Africa,1030700,4875637,4.730413311,9557966698,1960.352401,20
Iceland,Europe,100830,382003,3.788584747,28770206627,75314.08556,65
Réunion,Africa,,,,,,-21.15
Tajikistan,Asia,138790,10182222,73.36423373,10713525200,1052.179495,39
Cuba,Americas,103800,11059820,106.5493256,,,21.5
Somalia,Africa,627340,17801897,28.37679249,10202767270,573.1280925,10
Switzerland,Europe,39509.63,8777088,222.1505997,8.18E+11,93245.79521,47
Christmas Island,Oceania,,,,,,-10.5
Martinique,Americas,,,,,,14.666667
Australia,Oceania,7692020,26014399,3.381998357,1.69E+12,64997.01365,-27
Benin,Africa,112760,13759501,122.024663,17401746309,1264.70766,9.5
Laos,Asia,230800,7559007,32.75133016,15468785204,2046.404403,18
Sudan,Africa,1868000,49383346,26.43648073,51666875363,1046.240845,15
Libya,Africa,1759540,7223805,4.10550769,43246297922,5986.636949,25
Mali,Africa,1220190,23072640,18.90905515,18780322204,813.9650341,17
Peru,Americas,1280000,33475438,26.15268594,2.46E+11,7363.272069,-10
Hungary,Europe,91260,9644377,105.6802213,1.77E+11,18353.29836,47
Bermuda,Americas,54,64749,1199.055556,7827980000,120897.3112,32.33333333
Fiji,Oceania,18270,919422,50.32413793,4969503561,5405.030074,-17.7134
Netherlands,Europe,33670,17700982,525.7196911,1.05E+12,59123.31856,52.5
Nigeria,Africa,910770,223150896,245.0134458,4.77E+11,2139.374785,10
Portugal,Europe,91605.6,10434332,113.9049578,2.57E+11,24620.51956,39.5
India,Asia,2973190,1425423212,479.4255369,3.35E+12,2352.613925,20
South Georgia,Antarctic,,,,,,-54.5
Lesotho,Africa,30360,2286110,75.30006588,2354683089,1029.995533,-29.5
Zambia,Africa,743390,20152938,27.10950914,29163782140,1447.123101,-15
Tokelau,Oceania,,,,,,-9
Gambia,Africa,10120,2636470,260.520751,2204734528,836.2448759,13.46666666
Sierra Leone,Africa,72180,8276807,114.6689803,7119137322,860.130884,8.5
Kiribati,Oceania,810,130469,161.0728395,270841698.4,2075.908441,1.41666666
Norway,Europe,364270,5457127,14.98099487,5.94E+11,108798.4512,62
Ireland,Europe,68890,5165700,74.98475831,5.49E+11,106194.7559,53
Greenland,Americas,410450,56661,0.138046047,,,72
British Indian Ocean Territory,Africa,,,,,,-6
Mozambique,Africa,786380,32656246,41.52730995,18883528581,578.2516638,-18.25
Panama,Americas,74180,4400773,59.32559989,76276116700,17332.43607,9
Ukraine,Europe,579400,41048766,70.84702451,1.62E+11,4199.670898,49
Uruguay,Americas,175020,3390913,19.37443149,70164683290,20691.9739,-33
Aruba,Americas,180,107310,596.1666667,3279343544,30559.53353,12.5
Iran,Asia,1622500,89524246,55.17673097,3.94E+11,4405.092915,32
Isle of Man,Europe,570,84132,147.6,,,54.25
Åland Islands,Europe,,,,,,60.116667
Saudi Arabia,Asia,2149690,32175224,14.96737855,1.11E+12,34454.19577,25
Djibouti,Africa,23180,1137096,49.05504745,3674298479,3231.300153,11.5
Italy,Europe,295720,59013667,199.5592689,2.10E+12,35635.74422,42.83333333
Canada,Americas,8788700,38939056,4.430581997,2.16E+12,55509.39318,60
Jamaica,Americas,10830,2839144,262.155494,17097760724,6022.153411,18.25
Niger,Africa,1266700,25311973,19.98261072,15433852712,609.7451476,16
Afghanistan,Asia,652230,40578842,62.21554053,14497243872,357.2611528,33
Croatia,Europe,55960,3855641,68.89994639,71198635102,18466.09555,45.16666666
Latvia,Europe,62230,1879383,30.20059457,38018905782,20229.46136,57
Samoa,Oceania,2780,215261,77.43201439,832945205.6,3869.466395,-13.58333333
Curaçao,Americas,444,149996,337.8288288,3075180835,20501.75228,12.116667
Cyprus,Europe,9240,1331370,144.0876623,30976176887,33938.94531,35
Madagascar,Africa,581800,30437261,52.31567721,15134700203,497.2425148,-20
Uzbekistan,Asia,440652,34938955,79.2892237,90095926567,2578.666894,41
Macau,Asia,,677300,,24999113476,36909.95641,22.16666666
Micronesia,Oceania,700,112114,160.1628571,430000000,3835.381843,6.91666666
Maldives,Asia,300,524106,1747.02,6177118114,11786.00915,3.25
Slovenia,Europe,20136.4,2112076,104.8884607,59927702746,28373.83823,46.11666666
Andorra,Europe,470,79705,169.5851064,3380612573,42414.05901,42.5
Eritrea,Africa,121040.829,3409447,28.1677433,,,15
Guinea-Bissau,Africa,28120,2105529,74.87656472,1796608531,853.281304,12
Kuwait,Asia,17820,4589643,257.5557239,1.84E+11,40077.23805,29.5
